schema_version,l4_id,l1,l2,l3,l4,canonical_topic,research_coordinate,wiki_path
1,AI-L4-0001,上游底层算力与芯片层,计算芯片主链,GPU,AI产业链 - GPU,AI产业链 - GPU,上游底层算力与芯片层 -> 计算芯片主链 -> GPU,topics/AI产业链 - GPU.md
1,AI-L4-0002,上游底层算力与芯片层,计算芯片主链,CPU,AI产业链 - CPU,AI产业链 - CPU,上游底层算力与芯片层 -> 计算芯片主链 -> CPU,topics/AI产业链 - CPU.md
1,AI-L4-0003,上游底层算力与芯片层,计算芯片主链,NPU,AI产业链 - NPU,AI产业链 - NPU,上游底层算力与芯片层 -> 计算芯片主链 -> NPU,topics/AI产业链 - NPU.md
1,AI-L4-0004,上游底层算力与芯片层,计算芯片主链,TPU,AI产业链 - TPU,AI产业链 - TPU,上游底层算力与芯片层 -> 计算芯片主链 -> TPU,topics/AI产业链 - TPU.md
1,AI-L4-0005,上游底层算力与芯片层,计算芯片主链,DPU / SmartNIC,AI产业链 - DPU ／ SmartNIC,AI产业链 - DPU ／ SmartNIC,上游底层算力与芯片层 -> 计算芯片主链 -> DPU / SmartNIC,topics/AI产业链 - DPU ／ SmartNIC.md
1,AI-L4-0006,上游底层算力与芯片层,计算芯片主链,ASIC / 专用加速芯片,AI产业链 - ASIC ／ 专用加速芯片,AI产业链 - ASIC ／ 专用加速芯片,上游底层算力与芯片层 -> 计算芯片主链 -> ASIC / 专用加速芯片,topics/AI产业链 - ASIC ／ 专用加速芯片.md
1,AI-L4-0007,上游底层算力与芯片层,计算芯片主链,AI 推理芯片,AI产业链 - AI 推理芯片,AI产业链 - AI 推理芯片,上游底层算力与芯片层 -> 计算芯片主链 -> AI 推理芯片,topics/AI产业链 - AI 推理芯片.md
1,AI-L4-0008,上游底层算力与芯片层,计算芯片主链,边缘 AI 芯片,AI产业链 - 边缘 AI 芯片,AI产业链 - 边缘 AI 芯片,上游底层算力与芯片层 -> 计算芯片主链 -> 边缘 AI 芯片,topics/AI产业链 - 边缘 AI 芯片.md
1,AI-L4-0009,上游底层算力与芯片层,计算芯片主链,车载 AI 芯片,AI产业链 - 车载 AI 芯片,AI产业链 - 车载 AI 芯片,上游底层算力与芯片层 -> 计算芯片主链 -> 车载 AI 芯片,topics/AI产业链 - 车载 AI 芯片.md
1,AI-L4-0010,上游底层算力与芯片层,计算芯片主链,端侧 SoC,消费电子AI终端,消费电子AI终端,上游底层算力与芯片层 -> 计算芯片主链 -> 端侧 SoC,topics/消费电子AI终端.md
1,AI-L4-0011,上游底层算力与芯片层,芯片设计与基础能力,芯片架构,AI产业链 - 芯片架构,AI产业链 - 芯片架构,上游底层算力与芯片层 -> 芯片设计与基础能力 -> 芯片架构,topics/AI产业链 - 芯片架构.md
1,AI-L4-0012,上游底层算力与芯片层,芯片设计与基础能力,IP 授权,AI产业链 - IP 授权,AI产业链 - IP 授权,上游底层算力与芯片层 -> 芯片设计与基础能力 -> IP 授权,topics/AI产业链 - IP 授权.md
1,AI-L4-0013,上游底层算力与芯片层,芯片设计与基础能力,EDA 工具,AI产业链 - EDA 工具,AI产业链 - EDA 工具,上游底层算力与芯片层 -> 芯片设计与基础能力 -> EDA 工具,topics/AI产业链 - EDA 工具.md
1,AI-L4-0014,上游底层算力与芯片层,芯片设计与基础能力,芯片设计服务,AI产业链 - 芯片设计服务,AI产业链 - 芯片设计服务,上游底层算力与芯片层 -> 芯片设计与基础能力 -> 芯片设计服务,topics/AI产业链 - 芯片设计服务.md
1,AI-L4-0015,上游底层算力与芯片层,芯片设计与基础能力,验证服务,AI产业链 - 验证服务,AI产业链 - 验证服务,上游底层算力与芯片层 -> 芯片设计与基础能力 -> 验证服务,topics/AI产业链 - 验证服务.md
1,AI-L4-0016,上游底层算力与芯片层,芯片设计与基础能力,掩膜版,AI产业链 - 掩膜版,AI产业链 - 掩膜版,上游底层算力与芯片层 -> 芯片设计与基础能力 -> 掩膜版,topics/AI产业链 - 掩膜版.md
1,AI-L4-0017,上游底层算力与芯片层,晶圆制造与工艺,先进制程代工,AI产业链 - 先进制程代工,AI产业链 - 先进制程代工,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 先进制程代工,topics/AI产业链 - 先进制程代工.md
1,AI-L4-0018,上游底层算力与芯片层,晶圆制造与工艺,成熟制程代工,AI产业链 - 成熟制程代工,AI产业链 - 成熟制程代工,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 成熟制程代工,topics/AI产业链 - 成熟制程代工.md
1,AI-L4-0019,上游底层算力与芯片层,晶圆制造与工艺,晶圆制造设备,AI产业链 - 晶圆制造设备,AI产业链 - 晶圆制造设备,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 晶圆制造设备,topics/AI产业链 - 晶圆制造设备.md
1,AI-L4-0020,上游底层算力与芯片层,晶圆制造与工艺,光刻,AI产业链 - 光刻,AI产业链 - 光刻,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 光刻,topics/AI产业链 - 光刻.md
1,AI-L4-0021,上游底层算力与芯片层,晶圆制造与工艺,刻蚀,AI产业链 - 刻蚀,AI产业链 - 刻蚀,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 刻蚀,topics/AI产业链 - 刻蚀.md
1,AI-L4-0022,上游底层算力与芯片层,晶圆制造与工艺,薄膜沉积,AI产业链 - 薄膜沉积,AI产业链 - 薄膜沉积,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 薄膜沉积,topics/AI产业链 - 薄膜沉积.md
1,AI-L4-0023,上游底层算力与芯片层,晶圆制造与工艺,清洗,AI产业链 - 清洗,AI产业链 - 清洗,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 清洗,topics/AI产业链 - 清洗.md
1,AI-L4-0024,上游底层算力与芯片层,晶圆制造与工艺,检测量测,AI产业链 - 检测量测,AI产业链 - 检测量测,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 检测量测,topics/AI产业链 - 检测量测.md
1,AI-L4-0025,上游底层算力与芯片层,晶圆制造与工艺,CMP,AI产业链 - CMP,AI产业链 - CMP,上游底层算力与芯片层 -> 晶圆制造与工艺 -> CMP,topics/AI产业链 - CMP.md
1,AI-L4-0026,上游底层算力与芯片层,晶圆制造与工艺,离子注入,AI产业链 - 离子注入,AI产业链 - 离子注入,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 离子注入,topics/AI产业链 - 离子注入.md
1,AI-L4-0027,上游底层算力与芯片层,晶圆制造与工艺,工艺气体,AI产业链 - 工艺气体,AI产业链 - 工艺气体,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 工艺气体,topics/AI产业链 - 工艺气体.md
1,AI-L4-0028,上游底层算力与芯片层,晶圆制造与工艺,光刻胶,AI产业链 - 光刻胶,AI产业链 - 光刻胶,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 光刻胶,topics/AI产业链 - 光刻胶.md
1,AI-L4-0029,上游底层算力与芯片层,晶圆制造与工艺,靶材,AI产业链 - 靶材,AI产业链 - 靶材,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 靶材,topics/AI产业链 - 靶材.md
1,AI-L4-0030,上游底层算力与芯片层,晶圆制造与工艺,硅片,硅片,硅片,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 硅片,topics/硅片.md
1,AI-L4-0031,上游底层算力与芯片层,晶圆制造与工艺,化学品与湿电子化学品,AI产业链 - 化学品与湿电子化学品,AI产业链 - 化学品与湿电子化学品,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 化学品与湿电子化学品,topics/AI产业链 - 化学品与湿电子化学品.md
1,AI-L4-0032,上游底层算力与芯片层,晶圆制造与工艺,光掩模 blank,AI产业链 - 光掩模 blank,AI产业链 - 光掩模 blank,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 光掩模 blank,topics/AI产业链 - 光掩模 blank.md
1,AI-L4-0033,上游底层算力与芯片层,晶圆制造与工艺,掩模保护膜 / pellicle,AI产业链 - 掩模保护膜 ／ pellicle,AI产业链 - 掩模保护膜 ／ pellicle,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 掩模保护膜 / pellicle,topics/AI产业链 - 掩模保护膜 ／ pellicle.md
1,AI-L4-0034,上游底层算力与芯片层,晶圆制造与工艺,CMP slurry,AI产业链 - CMP slurry,AI产业链 - CMP slurry,上游底层算力与芯片层 -> 晶圆制造与工艺 -> CMP slurry,topics/AI产业链 - CMP slurry.md
1,AI-L4-0035,上游底层算力与芯片层,晶圆制造与工艺,CMP pad,AI产业链 - CMP pad,AI产业链 - CMP pad,上游底层算力与芯片层 -> 晶圆制造与工艺 -> CMP pad,topics/AI产业链 - CMP pad.md
1,AI-L4-0036,上游底层算力与芯片层,晶圆制造与工艺,前驱体 / 特气,AI产业链 - 前驱体 ／ 特气,AI产业链 - 前驱体 ／ 特气,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 前驱体 / 特气,topics/AI产业链 - 前驱体 ／ 特气.md
1,AI-L4-0037,上游底层算力与芯片层,晶圆制造与工艺,化合物半导体衬底,AI产业链 - 化合物半导体衬底,AI产业链 - 化合物半导体衬底,上游底层算力与芯片层 -> 晶圆制造与工艺 -> 化合物半导体衬底,topics/AI产业链 - 化合物半导体衬底.md
1,AI-L4-0038,上游底层算力与芯片层,晶圆制造与工艺,InP / GaAs 外延与晶圆,AI产业链 - InP ／ GaAs 外延与晶圆,AI产业链 - InP ／ GaAs 外延与晶圆,上游底层算力与芯片层 -> 晶圆制造与工艺 -> InP / GaAs 外延与晶圆,topics/AI产业链 - InP ／ GaAs 外延与晶圆.md
1,AI-L4-0039,上游底层算力与芯片层,存储链,HBM,AI产业链 - HBM,AI产业链 - HBM,上游底层算力与芯片层 -> 存储链 -> HBM,topics/AI产业链 - HBM.md
1,AI-L4-0040,上游底层算力与芯片层,存储链,DDR / LPDDR,AI产业链 - DDR ／ LPDDR,AI产业链 - DDR ／ LPDDR,上游底层算力与芯片层 -> 存储链 -> DDR / LPDDR,topics/AI产业链 - DDR ／ LPDDR.md
1,AI-L4-0041,上游底层算力与芯片层,存储链,GDDR,AI产业链 - GDDR,AI产业链 - GDDR,上游底层算力与芯片层 -> 存储链 -> GDDR,topics/AI产业链 - GDDR.md
1,AI-L4-0042,上游底层算力与芯片层,存储链,NAND Flash,AI产业链 - NAND Flash,AI产业链 - NAND Flash,上游底层算力与芯片层 -> 存储链 -> NAND Flash,topics/AI产业链 - NAND Flash.md
1,AI-L4-0043,上游底层算力与芯片层,存储链,SSD,AI产业链 - SSD,AI产业链 - SSD,上游底层算力与芯片层 -> 存储链 -> SSD,topics/AI产业链 - SSD.md
1,AI-L4-0044,上游底层算力与芯片层,存储链,企业级存储模组,AI产业链 - 企业级存储模组,AI产业链 - 企业级存储模组,上游底层算力与芯片层 -> 存储链 -> 企业级存储模组,topics/AI产业链 - 企业级存储模组.md
1,AI-L4-0045,上游底层算力与芯片层,存储链,存储控制器,AI产业链 - 存储控制器,AI产业链 - 存储控制器,上游底层算力与芯片层 -> 存储链 -> 存储控制器,topics/AI产业链 - 存储控制器.md
1,AI-L4-0046,上游底层算力与芯片层,存储链,CXL 相关扩展存储,AI产业链 - CXL 相关扩展存储,AI产业链 - CXL 相关扩展存储,上游底层算力与芯片层 -> 存储链 -> CXL 相关扩展存储,topics/AI产业链 - CXL 相关扩展存储.md
1,AI-L4-0047,上游底层算力与芯片层,存储链,近存储 / 存算一体方向,AI产业链 - 近存储 ／ 存算一体方向,AI产业链 - 近存储 ／ 存算一体方向,上游底层算力与芯片层 -> 存储链 -> 近存储 / 存算一体方向,topics/AI产业链 - 近存储 ／ 存算一体方向.md
1,AI-L4-0048,上游底层算力与芯片层,存储链,Server DRAM,AI产业链 - Server DRAM,AI产业链 - Server DRAM,上游底层算力与芯片层 -> 存储链 -> Server DRAM,topics/AI产业链 - Server DRAM.md
1,AI-L4-0049,上游底层算力与芯片层,存储链,HBM 堆叠与测试,AI产业链 - HBM 堆叠与测试,AI产业链 - HBM 堆叠与测试,上游底层算力与芯片层 -> 存储链 -> HBM 堆叠与测试,topics/AI产业链 - HBM 堆叠与测试.md
1,AI-L4-0050,上游底层算力与芯片层,存储链,Burn-in / memory test,AI产业链 - Burn-in ／ memory test,AI产业链 - Burn-in ／ memory test,上游底层算力与芯片层 -> 存储链 -> Burn-in / memory test,topics/AI产业链 - Burn-in ／ memory test.md
1,AI-L4-0051,上游底层算力与芯片层,存储链,DRAM / NAND 工艺迁移,AI产业链 - DRAM ／ NAND 工艺迁移,AI产业链 - DRAM ／ NAND 工艺迁移,上游底层算力与芯片层 -> 存储链 -> DRAM / NAND 工艺迁移,topics/AI产业链 - DRAM ／ NAND 工艺迁移.md
1,AI-L4-0052,上游底层算力与芯片层,先进封装链,CoWoS,AI产业链 - CoWoS,AI产业链 - CoWoS,上游底层算力与芯片层 -> 先进封装链 -> CoWoS,topics/AI产业链 - CoWoS.md
1,AI-L4-0053,上游底层算力与芯片层,先进封装链,InFO,AI产业链 - InFO,AI产业链 - InFO,上游底层算力与芯片层 -> 先进封装链 -> InFO,topics/AI产业链 - InFO.md
1,AI-L4-0054,上游底层算力与芯片层,先进封装链,SoIC,AI产业链 - SoIC,AI产业链 - SoIC,上游底层算力与芯片层 -> 先进封装链 -> SoIC,topics/AI产业链 - SoIC.md
1,AI-L4-0055,上游底层算力与芯片层,先进封装链,2.5D 封装,AI产业链 - 2.5D 封装,AI产业链 - 2.5D 封装,上游底层算力与芯片层 -> 先进封装链 -> 2.5D 封装,topics/AI产业链 - 2.5D 封装.md
1,AI-L4-0056,上游底层算力与芯片层,先进封装链,3D 封装,AI产业链 - 3D 封装,AI产业链 - 3D 封装,上游底层算力与芯片层 -> 先进封装链 -> 3D 封装,topics/AI产业链 - 3D 封装.md
1,AI-L4-0057,上游底层算力与芯片层,先进封装链,Chiplet,AI产业链 - Chiplet,AI产业链 - Chiplet,上游底层算力与芯片层 -> 先进封装链 -> Chiplet,topics/AI产业链 - Chiplet.md
1,AI-L4-0058,上游底层算力与芯片层,先进封装链,TSV,AI产业链 - TSV,AI产业链 - TSV,上游底层算力与芯片层 -> 先进封装链 -> TSV,topics/AI产业链 - TSV.md
1,AI-L4-0059,上游底层算力与芯片层,先进封装链,硅中介层,AI产业链 - 硅中介层,AI产业链 - 硅中介层,上游底层算力与芯片层 -> 先进封装链 -> 硅中介层,topics/AI产业链 - 硅中介层.md
1,AI-L4-0060,上游底层算力与芯片层,先进封装链,封装基板,AI产业链 - 封装基板,AI产业链 - 封装基板,上游底层算力与芯片层 -> 先进封装链 -> 封装基板,topics/AI产业链 - 封装基板.md
1,AI-L4-0061,上游底层算力与芯片层,先进封装链,引线框架,AI产业链 - 引线框架,AI产业链 - 引线框架,上游底层算力与芯片层 -> 先进封装链 -> 引线框架,topics/AI产业链 - 引线框架.md
1,AI-L4-0062,上游底层算力与芯片层,先进封装链,键合材料,AI产业链 - 键合材料,AI产业链 - 键合材料,上游底层算力与芯片层 -> 先进封装链 -> 键合材料,topics/AI产业链 - 键合材料.md
1,AI-L4-0063,上游底层算力与芯片层,先进封装链,底填材料,AI产业链 - 底填材料,AI产业链 - 底填材料,上游底层算力与芯片层 -> 先进封装链 -> 底填材料,topics/AI产业链 - 底填材料.md
1,AI-L4-0064,上游底层算力与芯片层,先进封装链,封装设备,AI产业链 - 封装设备,AI产业链 - 封装设备,上游底层算力与芯片层 -> 先进封装链 -> 封装设备,topics/AI产业链 - 封装设备.md
1,AI-L4-0065,上游底层算力与芯片层,先进封装链,封装测试,AI产业链 - 封装测试,AI产业链 - 封装测试,上游底层算力与芯片层 -> 先进封装链 -> 封装测试,topics/AI产业链 - 封装测试.md
1,AI-L4-0066,上游底层算力与芯片层,先进封装链,Burn-in / 老化测试,AI产业链 - Burn-in ／ 老化测试,AI产业链 - Burn-in ／ 老化测试,上游底层算力与芯片层 -> 先进封装链 -> Burn-in / 老化测试,topics/AI产业链 - Burn-in ／ 老化测试.md
1,AI-L4-0067,上游底层算力与芯片层,先进封装链,Hybrid bonding,AI产业链 - Hybrid bonding,AI产业链 - Hybrid bonding,上游底层算力与芯片层 -> 先进封装链 -> Hybrid bonding,topics/AI产业链 - Hybrid bonding.md
1,AI-L4-0068,上游底层算力与芯片层,先进封装链,TC bonder,AI产业链 - TC bonder,AI产业链 - TC bonder,上游底层算力与芯片层 -> 先进封装链 -> TC bonder,topics/AI产业链 - TC bonder.md
1,AI-L4-0069,上游底层算力与芯片层,先进封装链,ABF / FCBGA 基板,AI产业链 - ABF ／ FCBGA 基板,AI产业链 - ABF ／ FCBGA 基板,上游底层算力与芯片层 -> 先进封装链 -> ABF / FCBGA 基板,topics/AI产业链 - ABF ／ FCBGA 基板.md
1,AI-L4-0070,上游底层算力与芯片层,先进封装链,Glass substrate / glass core,玻璃基板,玻璃基板,上游底层算力与芯片层 -> 先进封装链 -> Glass substrate / glass core,topics/玻璃基板.md
1,AI-L4-0071,上游底层算力与芯片层,先进封装链,Panel-level packaging,AI产业链 - Panel-level packaging,AI产业链 - Panel-level packaging,上游底层算力与芯片层 -> 先进封装链 -> Panel-level packaging,topics/AI产业链 - Panel-level packaging.md
1,AI-L4-0072,上游底层算力与芯片层,高速互联链,交换芯片,AI产业链 - 交换芯片,AI产业链 - 交换芯片,上游底层算力与芯片层 -> 高速互联链 -> 交换芯片,topics/AI产业链 - 交换芯片.md
1,AI-L4-0073,上游底层算力与芯片层,高速互联链,以太网交换机,AI产业链 - 以太网交换机,AI产业链 - 以太网交换机,上游底层算力与芯片层 -> 高速互联链 -> 以太网交换机,topics/AI产业链 - 以太网交换机.md
1,AI-L4-0074,上游底层算力与芯片层,高速互联链,InfiniBand / RDMA,AI产业链 - InfiniBand ／ RDMA,AI产业链 - InfiniBand ／ RDMA,上游底层算力与芯片层 -> 高速互联链 -> InfiniBand / RDMA,topics/AI产业链 - InfiniBand ／ RDMA.md
1,AI-L4-0075,上游底层算力与芯片层,高速互联链,高速网卡,AI产业链 - 高速网卡,AI产业链 - 高速网卡,上游底层算力与芯片层 -> 高速互联链 -> 高速网卡,topics/AI产业链 - 高速网卡.md
1,AI-L4-0076,上游底层算力与芯片层,高速互联链,光模块,光模块光通信,光模块光通信,上游底层算力与芯片层 -> 高速互联链 -> 光模块,topics/光模块光通信.md
1,AI-L4-0077,上游底层算力与芯片层,高速互联链,激光器,AI产业链 - 激光器,AI产业链 - 激光器,上游底层算力与芯片层 -> 高速互联链 -> 激光器,topics/AI产业链 - 激光器.md
1,AI-L4-0078,上游底层算力与芯片层,高速互联链,光器件,AI产业链 - 光器件,AI产业链 - 光器件,上游底层算力与芯片层 -> 高速互联链 -> 光器件,topics/AI产业链 - 光器件.md
1,AI-L4-0079,上游底层算力与芯片层,高速互联链,光引擎,AI产业链 - 光引擎,AI产业链 - 光引擎,上游底层算力与芯片层 -> 高速互联链 -> 光引擎,topics/AI产业链 - 光引擎.md
1,AI-L4-0080,上游底层算力与芯片层,高速互联链,DAC / AOC,AI产业链 - DAC ／ AOC,AI产业链 - DAC ／ AOC,上游底层算力与芯片层 -> 高速互联链 -> DAC / AOC,topics/AI产业链 - DAC ／ AOC.md
1,AI-L4-0081,上游底层算力与芯片层,高速互联链,铜连接,AI产业链 - 铜连接,AI产业链 - 铜连接,上游底层算力与芯片层 -> 高速互联链 -> 铜连接,topics/AI产业链 - 铜连接.md
1,AI-L4-0082,上游底层算力与芯片层,高速互联链,SerDes,AI产业链 - SerDes,AI产业链 - SerDes,上游底层算力与芯片层 -> 高速互联链 -> SerDes,topics/AI产业链 - SerDes.md
1,AI-L4-0083,上游底层算力与芯片层,高速互联链,CPO,AI产业链 - CPO,AI产业链 - CPO,上游底层算力与芯片层 -> 高速互联链 -> CPO,topics/AI产业链 - CPO.md
1,AI-L4-0084,上游底层算力与芯片层,高速互联链,光电共封装前沿方向,AI产业链 - 光电共封装前沿方向,AI产业链 - 光电共封装前沿方向,上游底层算力与芯片层 -> 高速互联链 -> 光电共封装前沿方向,topics/AI产业链 - 光电共封装前沿方向.md
1,AI-L4-0085,上游底层算力与芯片层,高速互联链,Silicon photonics,AI产业链 - Silicon photonics,AI产业链 - Silicon photonics,上游底层算力与芯片层 -> 高速互联链 -> Silicon photonics,topics/AI产业链 - Silicon photonics.md
1,AI-L4-0086,上游底层算力与芯片层,高速互联链,InP EML / DML / CW laser,AI产业链 - InP EML ／ DML ／ CW laser,AI产业链 - InP EML ／ DML ／ CW laser,上游底层算力与芯片层 -> 高速互联链 -> InP EML / DML / CW laser,topics/AI产业链 - InP EML ／ DML ／ CW laser.md
1,AI-L4-0087,上游底层算力与芯片层,高速互联链,LPO,AI产业链 - LPO,AI产业链 - LPO,上游底层算力与芯片层 -> 高速互联链 -> LPO,topics/AI产业链 - LPO.md
1,AI-L4-0088,上游底层算力与芯片层,高速互联链,Coherent optics / ZR / ZR+,AI产业链 - Coherent optics ／ ZR ／ ZR+,AI产业链 - Coherent optics ／ ZR ／ ZR+,上游底层算力与芯片层 -> 高速互联链 -> Coherent optics / ZR / ZR+,topics/AI产业链 - Coherent optics ／ ZR ／ ZR+.md
1,AI-L4-0089,中游整机与系统集成层,AI 服务器,训练服务器,AI产业链 - 训练服务器,AI产业链 - 训练服务器,中游整机与系统集成层 -> AI 服务器 -> 训练服务器,topics/AI产业链 - 训练服务器.md
1,AI-L4-0090,中游整机与系统集成层,AI 服务器,推理服务器,AI产业链 - 推理服务器,AI产业链 - 推理服务器,中游整机与系统集成层 -> AI 服务器 -> 推理服务器,topics/AI产业链 - 推理服务器.md
1,AI-L4-0091,中游整机与系统集成层,AI 服务器,通用 AI 服务器,AI产业链 - 通用 AI 服务器,AI产业链 - 通用 AI 服务器,中游整机与系统集成层 -> AI 服务器 -> 通用 AI 服务器,topics/AI产业链 - 通用 AI 服务器.md
1,AI-L4-0092,中游整机与系统集成层,AI 服务器,高密度 GPU 服务器,AI产业链 - 高密度 GPU 服务器,AI产业链 - 高密度 GPU 服务器,中游整机与系统集成层 -> AI 服务器 -> 高密度 GPU 服务器,topics/AI产业链 - 高密度 GPU 服务器.md
1,AI-L4-0093,中游整机与系统集成层,AI 服务器,国产算力服务器,AI产业链 - 国产算力服务器,AI产业链 - 国产算力服务器,中游整机与系统集成层 -> AI 服务器 -> 国产算力服务器,topics/AI产业链 - 国产算力服务器.md
1,AI-L4-0094,中游整机与系统集成层,AI 服务器,一体机 / 专用箱体,AI产业链 - 一体机 ／ 专用箱体,AI产业链 - 一体机 ／ 专用箱体,中游整机与系统集成层 -> AI 服务器 -> 一体机 / 专用箱体,topics/AI产业链 - 一体机 ／ 专用箱体.md
1,AI-L4-0095,中游整机与系统集成层,网络与机柜系统,交换机整机,AI产业链 - 交换机整机,AI产业链 - 交换机整机,中游整机与系统集成层 -> 网络与机柜系统 -> 交换机整机,topics/AI产业链 - 交换机整机.md
1,AI-L4-0096,中游整机与系统集成层,网络与机柜系统,路由设备,AI产业链 - 路由设备,AI产业链 - 路由设备,中游整机与系统集成层 -> 网络与机柜系统 -> 路由设备,topics/AI产业链 - 路由设备.md
1,AI-L4-0097,中游整机与系统集成层,网络与机柜系统,机柜,AI产业链 - 机柜,AI产业链 - 机柜,中游整机与系统集成层 -> 网络与机柜系统 -> 机柜,topics/AI产业链 - 机柜.md
1,AI-L4-0098,中游整机与系统集成层,网络与机柜系统,机箱,AI产业链 - 机箱,AI产业链 - 机箱,中游整机与系统集成层 -> 网络与机柜系统 -> 机箱,topics/AI产业链 - 机箱.md
1,AI-L4-0099,中游整机与系统集成层,网络与机柜系统,背板,AI产业链 - 背板,AI产业链 - 背板,中游整机与系统集成层 -> 网络与机柜系统 -> 背板,topics/AI产业链 - 背板.md
1,AI-L4-0100,中游整机与系统集成层,网络与机柜系统,连接器,AI产业链 - 连接器,AI产业链 - 连接器,中游整机与系统集成层 -> 网络与机柜系统 -> 连接器,topics/AI产业链 - 连接器.md
1,AI-L4-0101,中游整机与系统集成层,网络与机柜系统,线缆,AI产业链 - 线缆,AI产业链 - 线缆,中游整机与系统集成层 -> 网络与机柜系统 -> 线缆,topics/AI产业链 - 线缆.md
1,AI-L4-0102,中游整机与系统集成层,网络与机柜系统,电源模组,AI产业链 - 电源模组,AI产业链 - 电源模组,中游整机与系统集成层 -> 网络与机柜系统 -> 电源模组,topics/AI产业链 - 电源模组.md
1,AI-L4-0103,中游整机与系统集成层,网络与机柜系统,配电模组,AI产业链 - 配电模组,AI产业链 - 配电模组,中游整机与系统集成层 -> 网络与机柜系统 -> 配电模组,topics/AI产业链 - 配电模组.md
1,AI-L4-0104,中游整机与系统集成层,ODM / JDM / 系统集成,ODM,AI产业链 - ODM,AI产业链 - ODM,中游整机与系统集成层 -> ODM / JDM / 系统集成 -> ODM,topics/AI产业链 - ODM.md
1,AI-L4-0105,中游整机与系统集成层,ODM / JDM / 系统集成,JDM,AI产业链 - JDM,AI产业链 - JDM,中游整机与系统集成层 -> ODM / JDM / 系统集成 -> JDM,topics/AI产业链 - JDM.md
1,AI-L4-0106,中游整机与系统集成层,ODM / JDM / 系统集成,集群集成,AI产业链 - 集群集成,AI产业链 - 集群集成,中游整机与系统集成层 -> ODM / JDM / 系统集成 -> 集群集成,topics/AI产业链 - 集群集成.md
